,StateProvince,RiskLevel,Chat,Phone Lifeline,Text Messaging,sum,chat_pct,phone_pct,text_pct,lvl5_pct
1,AK,5,2,28,0,30,0.06666666667,0.9333333333,0,0.2702702703
2,AL,5,59,166,8,233,0.2532188841,0.7124463519,0.03433476395,0.2603351955
3,AR,5,19,98,7,124,0.1532258065,0.7903225806,0.0564516129,0.2719298246
4,AZ,5,60,145,5,210,0.2857142857,0.6904761905,0.02380952381,0.257985258
5,CA,5,422,3933,65,4420,0.09547511312,0.8898190045,0.01470588235,0.2559351477
6,CO,5,72,380,9,461,0.1561822126,0.8242950108,0.01952277657,0.2551189817
7,CT,5,81,101,8,190,0.4263157895,0.5315789474,0.04210526316,0.2513227513
8,DC,5,13,31,2,46,0.2826086957,0.6739130435,0.04347826087,0.247311828
9,DE,5,12,20,3,35,0.3428571429,0.5714285714,0.08571428571,0.2755905512
10,FL,5,251,924,24,1199,0.2093411176,0.7706422018,0.02001668057,0.2563609151
11,GA,5,125,418,17,560,0.2232142857,0.7464285714,0.03035714286,0.2652771198
12,HI,5,9,29,4,42,0.2142857143,0.6904761905,0.09523809524,0.28
13,IA,5,28,60,2,90,0.3111111111,0.6666666667,0.02222222222,0.2578796562
14,ID,5,14,20,1,35,0.4,0.5714285714,0.02857142857,0.1912568306
15,IL,5,138,673,27,838,0.1646778043,0.8031026253,0.03221957041,0.2482962963
16,IN,5,85,199,9,293,0.2901023891,0.6791808874,0.03071672355,0.2579225352
17,KS,5,46,108,3,157,0.2929936306,0.6878980892,0.01910828025,0.2702237522
18,KY,5,74,224,5,303,0.2442244224,0.7392739274,0.01650165017,0.2576530612
19,LA,5,54,284,9,347,0.1556195965,0.818443804,0.02593659942,0.2784911717
20,MA,5,221,396,14,631,0.3502377179,0.6275752773,0.02218700475,0.2465806956
21,MD,5,102,358,12,472,0.2161016949,0.7584745763,0.02542372881,0.268486917
22,ME,5,43,47,2,92,0.4673913043,0.5108695652,0.02173913043,0.3183391003
23,MI,5,120,527,19,666,0.1801801802,0.7912912913,0.02852852853,0.2481371088
24,MN,5,75,226,12,313,0.2396166134,0.7220447284,0.03833865815,0.2610508757
25,MO,5,75,263,16,354,0.2118644068,0.7429378531,0.04519774011,0.2422997947
26,MS,5,22,117,2,141,0.1560283688,0.829787234,0.01418439716,0.282
27,MT,5,8,25,3,36,0.2222222222,0.6944444444,0.08333333333,0.3103448276
28,NC,5,233,318,21,572,0.4073426573,0.5559440559,0.03671328671,0.2725107194
29,ND,5,9,49,1,59,0.1525423729,0.8305084746,0.01694915254,0.2706422018
30,NE,5,39,101,4,144,0.2708333333,0.7013888889,0.02777777778,0.2608695652
31,NH,5,34,46,7,87,0.3908045977,0.5287356322,0.08045977011,0.2581602374
32,NJ,5,183,388,20,591,0.3096446701,0.6565143824,0.03384094755,0.258643326
33,NM,5,17,95,3,115,0.147826087,0.8260869565,0.02608695652,0.247311828
34,NV,5,29,138,4,171,0.1695906433,0.8070175439,0.02339181287,0.2766990291
35,NY,5,331,1447,42,1820,0.1818681319,0.7950549451,0.02307692308,0.2564463858
36,OH,5,208,561,27,796,0.2613065327,0.7047738693,0.03391959799,0.2563607085
37,OK,5,38,423,7,468,0.0811965812,0.9038461538,0.01495726496,0.2474881015
38,OR,5,56,260,10,326,0.1717791411,0.7975460123,0.03067484663,0.2734899329
39,PA,5,220,499,44,763,0.2883355177,0.6539973788,0.05766710354,0.2713371266
40,PR,5,0,2,0,2,0,1,0,NA
41,RI,5,18,54,1,73,0.2465753425,0.7397260274,0.01369863014,0.228125
42,SC,5,55,429,8,492,0.1117886179,0.8719512195,0.0162601626,0.2408223201
43,SD,5,20,6,1,27,0.7407407407,0.2222222222,0.03703703704,0.28125
44,TN,5,86,186,15,287,0.2996515679,0.6480836237,0.05226480836,0.25
45,TT,5,0,1,0,1,0,1,0,NA
46,TX,5,261,1064,46,1371,0.1903719912,0.776075857,0.03355215171,0.2652863777
47,UT,5,33,69,9,111,0.2972972973,0.6216216216,0.08108108108,0.254587156
48,VA,5,165,686,15,866,0.1905311778,0.792147806,0.01732101617,0.2390284295
49,VT,5,3,35,0,38,0.07894736842,0.9210526316,0,0.2835820896
50,WA,5,122,250,8,380,0.3210526316,0.6578947368,0.02105263158,0.2592087312
51,WI,5,58,131,12,201,0.2885572139,0.6517412935,0.05970149254,0.2669322709
52,WV,5,25,108,16,149,0.1677852349,0.7248322148,0.1073825503,0.2627865961
53,WY,5,8,18,0,26,0.3076923077,0.6923076923,0,0.2736842105